title,price_range,company,packing
Cefixime 690,127-152,Getz Pharma,soft gel
Ibuprofen 364,27-47,GlaxoSmithKline,capsules
Cetirizine 410,25-44,GlaxoSmithKline,tablets
Amoxicillin 587,46-76,Abbott,tablets
Cetirizine 437,17-37,Abbott,syrup 60ml
Cefixime 837,130-164,Abbott,injection 5ml
Cefixime 168,122-152,Sanofi,syrup 60ml
Loratadine 531,33-57,Sami Pharma,soft gel
Panadol 651,46-53,Sami Pharma,soft gel
Loratadine 817,32-56,Various,syrup 60ml
Panadol 897,47-54,Getz Pharma,powder
Cefixime 682,120-152,Pfizer,tablets
Ibuprofen 998,21-55,Sami Pharma,injection 5ml
Loratadine 902,33-53,Various,soft gel
Amoxicillin 838,51-72,Various,injection 5ml
Loratadine 232,28-43,Getz Pharma,powder
Panadol 652,39-40,Sanofi,injection 2ml
Ibuprofen 467,20-55,Abbott,syrup 60ml
Ibuprofen 730,30-47,Abbott,injection 5ml
Cetirizine 783,15-48,Abbott,injection 2ml
Panadol 888,31-58,Various,injection 5ml
Azithromycin 825,83-133,Getz Pharma,syrup 100ml
Ciprofloxacin 783,51-87,Sanofi,injection 2ml
Cefixime 580,122-164,Sanofi,capsules
Azithromycin 757,80-121,Getz Pharma,powder
Panadol 788,45-65,Sami Pharma,injection 5ml
Panadol 368,32-42,Various,capsules
Loratadine 666,28-43,Pfizer,syrup 60ml
Ibuprofen 882,26-44,Abbott,capsules
Amoxicillin 955,48-71,Abbott,syrup 100ml
Cetirizine 757,23-32,Various,powder
Ciprofloxacin 405,52-72,Abbott,tablets
Ibuprofen 131,21-49,Pfizer,injection 2ml
Loratadine 791,35-56,Various,capsules
Ibuprofen 516,25-47,Sanofi,tablets
Paracetamol 240,19-25,Various,soft gel
Cefixime 481,123-160,Sanofi,capsules
Amoxicillin 249,50-74,Sami Pharma,injection 5ml
Azithromycin 105,81-120,GlaxoSmithKline,powder
Cetirizine 220,20-43,GlaxoSmithKline,soft gel
Loratadine 632,30-42,Pfizer,syrup 60ml
Ibuprofen 848,22-52,Abbott,injection 2ml
Azithromycin 868,84-129,Sami Pharma,syrup 100ml
Loratadine 322,25-58,Sanofi,soft gel
Azithromycin 733,90-137,Getz Pharma,capsules
Azithromycin 411,87-131,Abbott,powder
Ibuprofen 378,29-36,Various,tablets
Panadol 424,49-69,Pfizer,syrup 60ml
Cetirizine 174,21-50,Sanofi,tablets
Ibuprofen 762,22-38,GlaxoSmithKline,injection 5ml
Paracetamol 113,21-38,Abbott,injection 2ml
Amoxicillin 655,49-65,GlaxoSmithKline,tablets
Cefixime 361,121-169,Getz Pharma,powder
Loratadine 391,30-60,Sanofi,soft gel
Cetirizine 861,21-33,GlaxoSmithKline,soft gel
Cetirizine 321,22-43,Sami Pharma,injection 5ml
Panadol 851,32-52,Abbott,soft gel
Panadol 876,48-63,GlaxoSmithKline,injection 5ml
Paracetamol 238,15-34,Getz Pharma,soft gel
Cefixime 460,127-156,Pfizer,tablets
Ibuprofen 590,22-48,Getz Pharma,capsules
Amoxicillin 396,45-75,GlaxoSmithKline,capsules
Ibuprofen 854,22-43,Sami Pharma,injection 2ml
Cefixime 131,127-169,Abbott,soft gel
Panadol 571,41-66,Getz Pharma,capsules
Azithromycin 268,83-134,Getz Pharma,injection 5ml
Amoxicillin 993,49-61,Sami Pharma,syrup 60ml
Paracetamol 259,24-42,Various,powder
Panadol 644,43-59,GlaxoSmithKline,syrup 60ml
Azithromycin 618,89-138,Sami Pharma,injection 2ml
Cetirizine 403,16-42,Sami Pharma,capsules
Ciprofloxacin 961,55-88,GlaxoSmithKline,soft gel
Cefixime 975,122-157,Sanofi,powder
Cefixime 886,121-154,Getz Pharma,powder
Panadol 715,47-66,Getz Pharma,capsules
Azithromycin 612,85-123,Sanofi,soft gel
Loratadine 828,26-55,Sami Pharma,soft gel
Panadol 700,47-63,Sanofi,injection 2ml
Amoxicillin 988,52-60,Abbott,syrup 60ml
Cefixime 452,128-157,Various,injection 2ml
Panadol 364,40-55,Abbott,soft gel
Ciprofloxacin 779,56-83,Pfizer,injection 2ml
Paracetamol 379,19-39,Sami Pharma,tablets
Cefixime 160,122-161,Various,injection 2ml
Amoxicillin 346,50-76,Getz Pharma,injection 2ml
Cefixime 349,124-163,GlaxoSmithKline,syrup 100ml
Cefixime 446,123-154,Abbott,powder
Cefixime 340,122-169,Abbott,capsules
Panadol 212,37-46,GlaxoSmithKline,powder
Panadol 902,42-62,Sami Pharma,syrup 60ml
Loratadine 728,25-47,Getz Pharma,syrup 60ml
Cetirizine 952,19-34,GlaxoSmithKline,powder
Ibuprofen 832,30-41,Sanofi,tablets
Panadol 527,32-53,GlaxoSmithKline,syrup 60ml
Loratadine 674,30-44,Sanofi,syrup 100ml
Ciprofloxacin 189,50-77,Various,injection 5ml
Loratadine 767,35-51,Various,syrup 60ml
Azithromycin 975,84-123,Sami Pharma,tablets
Cefixime 631,121-170,Sanofi,tablets
Ciprofloxacin 848,53-82,Sanofi,soft gel
Loratadine 326,34-60,Various,syrup 60ml
Amoxicillin 249,55-69,Abbott,powder
Ibuprofen 285,22-54,Pfizer,tablets
Cefixime 497,130-169,GlaxoSmithKline,syrup 100ml
Azithromycin 736,84-138,GlaxoSmithKline,capsules
Ibuprofen 600,22-46,Sanofi,injection 2ml
Ciprofloxacin 390,55-76,Sanofi,injection 2ml
Cetirizine 226,15-31,Sami Pharma,soft gel
Amoxicillin 430,51-70,Pfizer,injection 2ml
Ibuprofen 215,28-47,Various,tablets
Cetirizine 282,21-44,Various,capsules
Cetirizine 431,22-39,Various,injection 2ml
Paracetamol 499,21-45,Sanofi,powder
Cefixime 460,126-168,Pfizer,syrup 60ml
Amoxicillin 251,49-61,Sami Pharma,capsules
Paracetamol 630,25-44,GlaxoSmithKline,injection 2ml
Cefixime 239,122-157,Getz Pharma,injection 5ml
Panadol 889,34-58,Various,injection 5ml
Cetirizine 306,18-49,GlaxoSmithKline,injection 5ml
Ciprofloxacin 753,50-78,Sami Pharma,powder
Cefixime 544,126-153,GlaxoSmithKline,injection 5ml
Cetirizine 305,21-46,Sanofi,injection 5ml
Azithromycin 942,85-125,Abbott,syrup 100ml
Azithromycin 527,83-124,Various,powder
Ibuprofen 432,21-35,Various,syrup 60ml
Panadol 624,32-48,Pfizer,tablets
Azithromycin 367,89-136,Sami Pharma,capsules
Paracetamol 363,25-36,Sami Pharma,injection 2ml
Cefixime 286,128-153,Various,injection 5ml
Azithromycin 805,88-139,Sami Pharma,injection 5ml
Azithromycin 989,84-140,GlaxoSmithKline,syrup 100ml
Cefixime 897,125-157,Abbott,powder
Ibuprofen 879,28-36,GlaxoSmithKline,injection 2ml
Panadol 681,45-69,GlaxoSmithKline,syrup 100ml
Loratadine 625,33-40,Sami Pharma,tablets
Panadol 687,34-44,GlaxoSmithKline,injection 5ml
Loratadine 754,33-53,Getz Pharma,syrup 100ml
Panadol 281,40-57,Getz Pharma,soft gel
Cetirizine 359,23-49,Pfizer,tablets
Ciprofloxacin 481,60-81,Getz Pharma,injection 5ml
Panadol 152,35-45,Getz Pharma,tablets
Ciprofloxacin 185,59-70,Sanofi,soft gel
Cetirizine 109,25-50,Various,soft gel
Loratadine 325,30-57,GlaxoSmithKline,capsules
Cefixime 786,130-170,Pfizer,injection 5ml
Ibuprofen 218,29-52,Various,injection 2ml
Amoxicillin 688,53-78,Sanofi,tablets
Ibuprofen 585,23-42,Sanofi,soft gel
Ciprofloxacin 132,58-76,Sami Pharma,syrup 60ml
Cefixime 376,121-151,Getz Pharma,syrup 60ml
Cefixime 719,120-153,Abbott,injection 5ml
Panadol 781,34-46,Pfizer,powder
Azithromycin 559,80-130,Sanofi,injection 2ml
